,city,state,artist,song,uris,popularity,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Guam,Guam,Grey Daze,B12,spotify:track:2NVrALq8HUj3Y0NKC4AjGw,57,2020-06-26,0.475,0.922,11.0,-5.136,0.0,0.0452,0.007379999999999999,0.0218,0.07,0.535,154.99,audio_features,2NVrALq8HUj3Y0NKC4AjGw,spotify:track:2NVrALq8HUj3Y0NKC4AjGw,https://api.spotify.com/v1/tracks/2NVrALq8HUj3Y0NKC4AjGw,https://api.spotify.com/v1/audio-analysis/2NVrALq8HUj3Y0NKC4AjGw,213680.0,4.0
1,Guam,Guam,Jerry Jeff Walker,Wingin' It Home to Texas,spotify:track:0oIsebhFnjaQx9biiY9aBz,9,2012-07-31,0.49200000000000005,0.185,2.0,-22.746,1.0,0.0742,0.892,0.000543,0.7070000000000001,0.654,95.64399999999999,audio_features,0oIsebhFnjaQx9biiY9aBz,spotify:track:0oIsebhFnjaQx9biiY9aBz,https://api.spotify.com/v1/tracks/0oIsebhFnjaQx9biiY9aBz,https://api.spotify.com/v1/audio-analysis/0oIsebhFnjaQx9biiY9aBz,231360.0,4.0
2,Guam,Guam,Grey Daze,B12,spotify:track:2NVrALq8HUj3Y0NKC4AjGw,57,2020-06-26,0.475,0.922,11.0,-5.136,0.0,0.0452,0.007379999999999999,0.0218,0.07,0.535,154.99,audio_features,2NVrALq8HUj3Y0NKC4AjGw,spotify:track:2NVrALq8HUj3Y0NKC4AjGw,https://api.spotify.com/v1/tracks/2NVrALq8HUj3Y0NKC4AjGw,https://api.spotify.com/v1/audio-analysis/2NVrALq8HUj3Y0NKC4AjGw,213680.0,4.0
3,Guam,Guam,B-Legit,So International,spotify:track:2qadk7jnNzJSfkkY7apjyY,34,2002-09-24,0.882,0.5870000000000001,1.0,-3.361,1.0,0.259,0.0719,0.0,0.0476,0.682,94.977,audio_features,2qadk7jnNzJSfkkY7apjyY,spotify:track:2qadk7jnNzJSfkkY7apjyY,https://api.spotify.com/v1/tracks/2qadk7jnNzJSfkkY7apjyY,https://api.spotify.com/v1/audio-analysis/2qadk7jnNzJSfkkY7apjyY,214640.0,4.0
4,Guam,Guam,Laurie Anderson,Word of Mouth,spotify:track:5QpcAfKDx24CjOeRhYTCrQ,5,1995,0.447,0.18,5.0,-20.024,1.0,0.415,0.685,3.39e-05,0.0924,0.363,77.273,audio_features,5QpcAfKDx24CjOeRhYTCrQ,spotify:track:5QpcAfKDx24CjOeRhYTCrQ,https://api.spotify.com/v1/tracks/5QpcAfKDx24CjOeRhYTCrQ,https://api.spotify.com/v1/audio-analysis/5QpcAfKDx24CjOeRhYTCrQ,289667.0,3.0
5,Guam,Guam,Bad Religion,World War III,spotify:track:0nS9c64XEahWi9qtPyey0H,24,1982,0.363,0.905,0.0,-3.3989999999999996,1.0,0.0386,0.00426,0.0,0.0864,0.8390000000000001,146.39,audio_features,0nS9c64XEahWi9qtPyey0H,spotify:track:0nS9c64XEahWi9qtPyey0H,https://api.spotify.com/v1/tracks/0nS9c64XEahWi9qtPyey0H,https://api.spotify.com/v1/audio-analysis/0nS9c64XEahWi9qtPyey0H,54742.0,4.0
6,Guam,Guam,Tee Grizzley,Country,spotify:track:3eQPJYfhgcW3T1ypwIZN7n,47,2017-04-07,0.784,0.66,1.0,-5.813,1.0,0.308,0.226,0.0,0.11699999999999999,0.505,150.16899999999998,audio_features,3eQPJYfhgcW3T1ypwIZN7n,spotify:track:3eQPJYfhgcW3T1ypwIZN7n,https://api.spotify.com/v1/tracks/3eQPJYfhgcW3T1ypwIZN7n,https://api.spotify.com/v1/audio-analysis/3eQPJYfhgcW3T1ypwIZN7n,173512.0,4.0
7,Guam,Guam,Tee Grizzley,No Effort,spotify:track:6iF5JgF1GNUQwlnsgnMzUu,59,2017-04-07,0.895,0.698,1.0,-6.575,1.0,0.207,0.565,0.0,0.305,0.325,99.99799999999999,audio_features,6iF5JgF1GNUQwlnsgnMzUu,spotify:track:6iF5JgF1GNUQwlnsgnMzUu,https://api.spotify.com/v1/tracks/6iF5JgF1GNUQwlnsgnMzUu,https://api.spotify.com/v1/audio-analysis/6iF5JgF1GNUQwlnsgnMzUu,193020.0,4.0
8,Guam,Guam,Animaniacs,Yakko's World,spotify:track:4SMxjek0kCThUdebOZBji0,31,2020-07-01,0.5920000000000001,0.42,6.0,-12.387,1.0,0.114,0.5670000000000001,0.0,0.0745,0.958,69.783,audio_features,4SMxjek0kCThUdebOZBji0,spotify:track:4SMxjek0kCThUdebOZBji0,https://api.spotify.com/v1/tracks/4SMxjek0kCThUdebOZBji0,https://api.spotify.com/v1/audio-analysis/4SMxjek0kCThUdebOZBji0,102909.0,4.0
10,Guam,Guam,Hieroglyphics,Soweto,spotify:track:4gPcPRx8JXs4WuhszmxQZs,33,2011-01-04,0.615,0.809,1.0,-5.148,1.0,0.287,0.154,0.0,0.128,0.636,94.83,audio_features,4gPcPRx8JXs4WuhszmxQZs,spotify:track:4gPcPRx8JXs4WuhszmxQZs,https://api.spotify.com/v1/tracks/4gPcPRx8JXs4WuhszmxQZs,https://api.spotify.com/v1/audio-analysis/4gPcPRx8JXs4WuhszmxQZs,235320.0,4.0
